chinese,pinyin,later_han,turkish_render,proposed_name,proposed_sense,note,status
壺衍鞮,Huyandi,gɑ janᴮ te,ga yan te,Kayantı,avalanche,"壺 gɑ → ka: given a Later Han voiced g-, the source sound is more often k than g, so the devoicing is normal rather than a liberty. 衍 jan → yan: direct, coda written. 鞮 te → tı: direct. All three steps are default or better, phonetically one of the cleaner readings here. kay- “to slide, to slip away”. Parallel in sense to Bayezid I's Yıldırım: a natural force taken as a regnal epithet.",author's proposal; not supported by any measurement in the paper
虛閭權渠,Xulüquanqu,kʰɨɑ liɑ gyan gɨɑ,kıa lia gyan gıa,Kalkan,shield,"虛 kʰɨɑ → ka, 閭 liɑ → l, 權 gyan → kan: the first three characters match exactly, including the written -n coda, at zero minority steps. Only 渠 gɨɑ is left unaccounted for, and it may carry a separate title element. kalkan “shield” is in Kāşgarî and in the Codex Cumanicus as Kalkani, “scutum ejus”. A weapon or armour name is an ordinary steppe formation, and it needs no compound to be read.",author's proposal; not supported by any measurement in the paper
握衍朐鞮,Woyanqudi,ʔɔk janᴮ guo te,’ok yan guo te,Okyan Kutuğtı,blessed sovereign of the arrow flank,"握 ʔɔk → ok is exact, with the -k coda written, and 衍 jan → yan and 鞮 te → tı are direct. The weak point is 朐 guo → kutuğ, which expands one Chinese syllable into two Turkic ones; nothing in the corpora licenses that expansion. ok “arrow” doubles as a division of the confederation in later Turkic usage (the On Ok, “ten arrows”, of the Western Turks) which is what makes a territorial reading available. kut is “heavenly favour, fortune”.",author's proposal; not supported by any measurement in the paper
呼韓邪,Huhanye,hɑ gɑn ja,ha gan ya,Kaganya,kagan of the flank,"呼 hɑ → ka: an h/k substitution, which the Mongolian corpus supports strongly (a source k or q was written with an h- character 27% of the time). 韓 gɑn → gan: exact, coda written. 邪 ja → ya: the strongest single correspondence in the record. The written sequence ha gan ya becomes ka-gan-ya on one change. 呼韓邪 commanded the left flank before becoming ruler, so the Chinese record itself supplies the office that the reading names.",author's proposal; not supported by any measurement in the paper
郅支,Zhizhi,tśit tśe,çit çe,Çitçi,"border-maker, one who carves the boundary","郅 tśit → çit: tś- is the default affricate vehicle and the -t coda is written. 支 tśe → çi: default. Both syllables use the majority correspondence and neither requires an inserted or deleted segment. çit / çiz-, of marking or carving a boundary. 郅支 broke away westward and set up a rival seat, so a name of division fits the career, though it is equally possible that the career suggested the name.",author's proposal; not supported by any measurement in the paper
若鞮,Ruodi,ńɑk te,nyak te,İnakt,the faithful ones,"若 ńɑk → ınak: a palatal nasal onset with the -k coda written. 鞮 te → -t: the final stop is not written, and Table 7 of the paper licenses that at 30%. One objection stands and the paper states it: if the source was ınakt, the opening ı- is not written and 若鞮 has no room for it. One of the two readings argued in the paper itself, at §9, and it is listed here so this supplement can be read as a single list with the standard visible in it. Inak is glossed fidelis “faithful” in the Codex Cumanicus; the Hou Hanshu glosses 若鞮 as 孝 “filial”; the plural in -t is an Old Turkic formation used with titles (tegin → tegit); and Clauson records Chagatay inak as “a royal representative or senior minister”, so a court title on this root is what the word ordinarily does.",argued in §9 of the paper; one of the two readings in this file that meet the paper's standard
復株累若鞮,Fuzhulei Ruodi,buk ṭio lui ńɑk te,buk tio lui nyak te,Büktel İnakt,"Büktel, of the İnakt","復株累 buk ṭio lui → büktel: the b-, the -k coda, the dental and the liquid all fall in place across the three characters, at zero minority steps, with only the front rounded vowel unwritable. One attested word covers the whole prefix rather than an invented two-element compound. 若鞮 → İnakt is treated in §S1.4. Kāşgarî gives büktel as “orta boylu; yassı arkalı, oturamaklı”: of middling height and flat-backed. A name from a bodily description is a well-attested Turkic type; compare the Hungarian royal name Şişman.",author's proposal; not supported by any measurement in the paper
搜諧若鞮,Souxie Ruodi,so gɛi ńɑk te,so gei nyak te,Sarıg İnakt,"the yellow, the fair, of the İnakt","搜 so → sar: a sibilant onset, which the correspondence counts make obligatory: a source k, q or g was written with a Chinese sibilant in 0 of 2,124 attestations, while Chinese sibilant characters transcribe s, š, č or ś in 98% of 837 cases. The final -r is not written and could not be: Later Han carries no -r in any coda position. 諧 gɛi → ıg: a velar onset, direct. Nothing is inserted, and no character is read as a sound it cannot carry. 若鞮 → İnakt is treated in §S1.4. sarıg “sarı, sarı renk” (yellow) is in Kāşgarî, and survives as modern Turkish Sarı, still current both as a name and as an epithet. Color epithets are a documented Turkic naming type: the same dictionary has çakır “grey-eyed”, and Çal “dappled, grey” is proposed for 烏珠留若鞮 on the same footing. Ninety-one attested headwords fit this two-syllable frame, so it does not determine the reading; sarıg is offered as the most plausible of them, with nothing in the transcription standing against it.",author's proposal; not supported by any measurement in the paper
車牙若鞮,Cheya Ruodi,tśʰa ŋa ńɑk te,ça nga nyak te,Tunga İnakt,"the tiger, or the hero, of the İnakt","車 tśʰa → to: the first of the character’s two tabulated readings, no polyphony argument needed. A source t written with the aspirated tśʰ- is 67 of 198, 33.8%; the character is open, so any source coda would be unwritten; the vowel is free, a source o written with an open vowel being 86 of 289, 29.8%. 牙 ŋa → -ŋa: a source syllable beginning with a velar nasal takes a Chinese ŋ- character 5 times in 7, and the one intervocalic case is 丁彦多 for tiṅanta, where 彦 carries the -ṅan-; a source a written with an open vowel is 1045 of 1509, 69.3%. The whole name costs 4.98%, about 1 in 20, against the 1 in 37 that retires Baγatur in §8.1 of the paper. Step 48 prices every form the two characters permit. The reading this replaces is excluded twice over. Ok required 牙 to write a vowel-initial syllable, which is 0 of 140 in the Sanskrit corpus, 137 of the 140 taking a glottal; and çöge required a source affricate written with the aspirated tśʰ-, which is 1 of 54, where the vehicle for a source affricate is the plain tś- at 32 of 48. It also added a syllable the character does not carry. On the spelling. The -ng- of Turkish Tunga renders a single velar nasal, not a nasal followed by a stop. That is why these two characters write the word and 當戶 cannot: a written -ŋ coda followed by a velar onset is the corpus device for a source ŋg or ŋk cluster, 13 cases of 13, and this word has no velar stop in it. Tunga, an epithet, in the title slot the other 若鞮 names use. Clauson’s headword is toŋa:, with back vowels, and he records that “whether -o- or -u- in the first syllable is uncertain”, so Tunga and Tonga are equally available; this file prints the first, and the transcription cannot separate them either, since 車 carries an open vowel and a source o and a source u fall alike at 29.8%. Two senses, resting on different evidence, and both are recorded here. Kāşgarî glosses the word as a tiger-like beast (Dīwān III 368), and glosses the title Toŋa Alp Er, given to Afrasiyab the king of the Turks, as “the heroic man as strong as a tiger”. Outside personal names the eighth- and ninth-century Uyghur texts use it for “hero, outstanding warrior”: the Manichaean éligler xanlar toŋalar, “kings, khans, great warriors” (M III 41), the Buddhist Arcunı toŋa, “the hero Arjuna” (U II 24), and toŋalar begi. Clauson records that the animal sense “is not confirmed by any other authority”, and that by Kāşgarî’s day the word’s meaning had become unknown and it survived chiefly as a title. Neither sense is suppressed here, and the choice between them does not change the reading. The naming pattern is attested, and it is the one this name needs. Kāşgarî says the word is used as a laqab, an honorific epithet, and gives toŋa xan and toŋa tegin: the epithet first, the title after it, head last, which is the shape of Alp Arslan and Bilge Kağan. Tunga İnakt is that shape, with 若鞮 as the title element the paper argues in §9, and it matches the form the other five 若鞮 rows already take, such as Çal İnakt. What is not settled. The vowel of the first syllable, which neither Clauson nor the transcription fixes. Whether the epithet is the animal or the quality, which turns on how much weight Kāşgarî’s gloss can bear given that he reports the word as already opaque. The Dīwān’s own text is not held for this project, only the Türk Dil Kurumu index, which carries headwords without verses, so the order Alp Er Tonga familiar from the elegy could not be checked here: Clauson gives only Toŋa Alp Er, from Dīwān III 368 and Kutadgu Bilig 277. And this word stood at 當戶 in earlier drafts; it is moved here because 當戶 writes a source nasal-plus-velar cluster and this word has a single nasal.",author's proposal; not supported by any measurement in the paper
烏珠留若鞮,Wuzhuliu Ruodi,ʔɑ tśo liu ńɑk te,’a ço liu nyak te,Çal İnakt,"the grey or dappled one, of the İnakt","烏 ʔɑ is vowel-initial, so the reading begins at 珠 tśo → ç, with 留 liu → l: an affricate written with the default tś- character and a liquid, both majority correspondences. Nothing is inserted, and no character is read as a consonant it does not carry. çal is “alaca, kır” in Kāşgarî: dappled, grey. Color epithets are a persistent Turkic naming pattern, as çakır “grey-eyed” shows in the same dictionary.",author's proposal; not supported by any measurement in the paper
烏累若鞮,Wulei Ruodi,ʔɑ lui ńɑk te,’a lui nyak te,Uluğ İnakt,"the Great, of the İnakt","烏 ʔɑ → u: a glottal-onset character is the standard way to write a vowel-initial syllable. 累 lui → lu: a liquid, direct. Two characters, two segments, nothing supplied that the transcription does not carry. The Codex Cumanicus glosses Oulu as magnus. Uluğ “great” is among the most common elements in Turkic titulature, which is both the strength of this reading and its weakness: a very common word is an easy target to hit.",author's proposal; not supported by any measurement in the paper
呼都而尸道皋若鞮,Huduershi Daogao Ruodi,hɑ tɑ ńə śi douᴮ kou ńɑk te,ha ta nyı şi dou kou nyak te,Öz-Uluğ İnakt,"Great Core, of the İnakt","Eight characters, and correspondingly the least constrained reading in the file: the longer the string, the more ways there are to split it into Turkic elements, and the split itself is doing most of the work rather than any individual correspondence. 呼 hɑ → öz and 皋 kou → uluğ are the two largest jumps. öz “self, core” and uluğ “great”, both common Old Turkic elements in titulature.",author's proposal; not supported by any measurement in the paper
攣鞮,Luandi,lyan te,lyan te,El-indi,state founder,"攣 lyan → el moves the liquid from the onset of the Chinese syllable to the coda of the Turkic one; no corpus shows that kind of metathesis. 鞮 te → indi expands one syllable into two. The reading is driven by the sense rather than by the transcription. el “realm, state” with the definite past in -di: literally “he founded the realm”. This is the clan name as the Shiji and Hanshu write it.",author's proposal; not supported by any measurement in the paper
虛連題,Xulianti,kʰɨɑ lianᴮ de,kıa lian de,Kıyalığ El-indi,state founder of the rocky region,"虛 kʰɨɑ → kıya is reachable. 連 lianᴮ → lığ adds an unwritten coda, and 題 de → el-indi carries a whole two-syllable word on one character. Three characters are being asked to yield five syllables. The same clan name as 攣鞮, in the form the Hou Hanshu gives, with the kaya element recurring from 虛閭權渠.",author's proposal; not supported by any measurement in the paper
單于,chanyu,dźan wɑ,can va,Çarvuş,army commander; the earlier form of çavuş,"Two characters, 單 with a written coda and 于 open. 單 → çar- takes the second of the character’s two Later Han readings, the dental tɑn, for the onset: a source voiceless affricate written with the voiced dź- of the first reading is 0 of 48 in the Sanskrit corpus, while with a dental onset it is 8 of 48, 16.7%. For the coda it takes the Old Chinese value, Baxter and Sagart’s *dar, whose liquid becomes the -n of the later table; step 43 measures how often the two reconstructions differ in this way across the record. 于 wɑ → -vuş is the best value this character offers: a source v written with a Chinese w- character is 9 of 65, 13.8%, against 1 of 55 for a source b and 0 of 140 for a vowel-initial syllable. The final -ş is unwritten, which a sibilant coda is in 27 of 36 cases, 75%, since Later Han has no sibilant coda. The liquid is what makes the form possible. Across the 8,930 headwords of the Kāşgarî index and the Codex, -rv- and -rb- occur 18 times in native words (burba-, karva-, kurbaka, turbı), while -nv- occurs 0 times and -nb- 5 times, all in loanwords: a liquid before a labial is Turkic, a nasal before one is not. Two shapes the frame excludes outright, whatever word is tried. A velar first element is not available: a voiced affricate writing a velar stop appears once in 220 in the Sanskrit corpus and that one case is a translation mislabelled as a transcription, and characters that write kan exactly, 干 kɑn and 汗 gɑnᶜ, were available and not used. A vowel-initial second element is not available either: a glide character writing a vowel-initial source syllable is 0 of 140. Çarvuş, the earlier form of çavuş, “army commander”. A native Turkic title of the first rank. Clauson does not mark it foreign, unlike beg, xan and xağan, and Doerfer 1055 has it travelling outward, to Persian and thence to Urdu and Lezgian. It is attested in the eighth-century inscriptions in the highest possible company: bilgesi çavuşı erti, “he was his Counsellor and Army Commander” (Ix. 17), and at Tonyukuk 7 the speaker is Tonyukuk himself. Clauson glosses it “originally the principal military officer of a xağan, the military counterpart of bilge”, and adds that “as time went on the post gradually lost status”, ending as the modern Turkish sergeant; Kāşgarî defines the office as the one who orders the ranks in battle and restrains the troops from outrages (I 368), and his form of the word is çaβuş, with a bilabial fricative. Why it is proposed here. Founders of dynasties commonly bear military titles: Osman Gazi, Alp Arslan, Alp Tegin. And a supreme title that began as a military one is an ordinary trajectory, as with Latin imperator “commander” and dux. The Türk inscriptions are a thousand years later than the Xiongnu, so the decline Clauson describes was already under way when they were cut, and at the earlier stage the office Clauson calls the principal military officer of a xağan could have been the ruler’s own title rather than his officer’s. What is not settled. Çarvuş itself is not recorded in the later Turkic sources. Clauson’s Etymological Dictionary, Erdal’s Grammar of Old Turkic, Kāşgarî’s Dīwān, the Kutadgu Bilig, Doerfer’s TMEN and Tekin’s edition of the Irk Bitig all carry çavuş or çaβuş and none carries a form with the liquid. On this reading the -r- was lost before the eighth century, which is a thousand years after the name was written down.","author's proposal; not supported by any measurement in the paper. The reading takes the second Later Han reading of 單 for the onset and its Old Chinese value for the coda; çarvuş itself is not recorded in the later Turkic sources, which carry çavuş"
撑犁孤塗單于,chengli gutu chanyu,ḍaŋ lei kuɑ dɑ dźan wɑ,dang lei kua da can va,(compound of the three rows below),,"Six characters forming the full ceremonial title, and the only item in the record the Chinese sources gloss in full. It decomposes into three units that each have their own row here: 撑犁 ḍaŋ lei, 孤塗 kuɑ dɑ and 單于 dźan wɑ. No separate reading is proposed for the compound; whatever the three parts are read as, the whole follows. The Hanshu glosses the phrase as “Son of Heaven, the Chanyu”, with 撑犁 = 天 “heaven” and 孤塗 = 子 “son”. That makes it the single most valuable item in the record, because both the form and the meaning are recorded, and it is the evidence on which most of the language-attribution argument has rested for a century.",compound; read through its three constituent rows
撑犁,chengli,ḍaŋ lei,dang lei,Tanglı,bearing divine light; sacred,"撑 ḍaŋ → tang: retroflex ḍ for t is routine and the -ŋ coda is written. 犁 lei → lı: direct. Both steps are default. The same two syllables equally support tengri, which the Chinese gloss 天 and the lexicon search of §6.3 both favour: Kāşgarî returns it 4th, the Codex 2nd. tang of dawn or light, read as “bearing divine light; sacred”. Offered as an alternative to the standard identification with tengri, not as an improvement on it.",author's proposal; not supported by any measurement in the paper
孤塗,gutu,kuɑ dɑ,kua da,Kutı,"the blessing of heaven, with the third-person possessive","孤 kuɑ → ku: the default velar onset, direct, with the coda open. 塗 dɑ → tı: a dental onset carrying the -t of kut, with the vowel free. Two characters, two syllables, nothing inserted and nothing discarded. The frame is k/g/h – t/d and both codas are unwritten, so a source -r, -l, -s or -z could hide in either. 66 attested headwords fit it. kutı, “the blessing of heaven”, with -ı as the third-person possessive. kut is the divine favour that legitimises a ruler: Clauson records it in the hendiadys kut kıv “divine favour”, and it is the word the Kutadgu Bilig is named from. The possessive is not padding but what Turkic requires of the second noun in a genitive-possessive phrase, tengri kutı, “the kut of heaven”, which is the shape of the full title 撑犁孤塗單于. The phrase is attested, not assembled. Clauson's entry for kut cites the Irk Bitig for teŋri kutınta “by the favour of heaven”, which is teŋri kutı with a locative on it, and the Orkhon inscriptions for the dative kutıŋa, in the passage where the ruler's mother is said to have enjoyed the favour of heaven. So both the possessive form and the two-word phrase are on record in Old Turkic, and the Chinese title maps onto them element for element. That is now checkable in the primary edition rather than only in Clauson’s report of it: Tekin’s glossary to the Irk Bitig carries kut as a headword, glossed “divine favor, blessing, good fortune”, and its citations include kutınta at omens 15 and 56, the first of them in the phrase teŋri kutınta. The manuscript is ninth-century. In Old Turkic that suffix is -ı / -i, so kutı rather than kutu; the -u of modern Turkish kutu comes from labial harmony, a later development. The two-character spelling is itself evidence for the second syllable. Had the word been a bare kut, a single character was available that writes it exactly, 骨 kuət, with the -t on the page, and the record uses that character in 骨都侯. A scribe who had the one-syllable option and wrote two characters was writing two syllables. The vowel of 塗 is ɑ and matches neither ı nor u closely, but §7 of the paper puts vowel recovery at 50.0% with the interval straddling one half, so the vowel is the least informative part of the spelling and cannot decide between them. The Chinese gloss is 子 “son”, and this reading does not translate it. That is recorded against the proposal rather than explained away. The word the gloss wants is oğul, and oğul is barred by the writing rather than merely disfavoured: it is vowel-initial while 孤 carries a velar, and in the Sanskrit corpus a source vowel-initial syllable took a zero or glottal onset in 96% of 183 cases and a velar in none of them. Its medial -ğ- has nowhere to sit either, since 塗 is dental. So oğul is not one of the 66 headwords that fit the frame and never was a candidate; the same wall excluded okluk at 胡祿. Of the 66 that do fit, none means “son”: they include kut “heavenly favour, fortune”, kat “layer”, kata “time, occasion”, ketü, Kerti verus and kötü. The Yeniseian rival, as its author now leaves it. Pulleyblank compared the word with Arin bïkjàl “son”. In 2000 Vovin held that Arin form to be isolated in the family, the other languages reflecting Proto-Yeniseian *puʔ-b “son” (Ket hiʔp, Yug fiʔp, Kott fup), and found no Altaic etymology either (Vovin 2000, CAJ 44/1, p. 91). He withdrew it three years later: “I would like to take back my suggestion that Arin form is isolated in Yeniseian” (Vovin 2003, Part 2). He then rebuilds the comparison rather than dropping it, reading Pumpokol p-halla “my son” as a cluster with the first-person prefix rather than as an f-, which makes it cognate with the Arin form, and ruling out Pulleyblank’s Ket qal/qaloq instead. The Yeniseian side of this item is therefore stronger than Part 1 alone would suggest, and it is recorded here as he left it. So this is the one item in the record where two independent kinds of evidence point at different words: the writing supports kutı and the gloss asks for a word the writing excludes. The gloss can be accounted for without supposing the informant was confused about Xiongnu. If the title meant “the heaven-favoured chanyu”, the Chinese expression that fits it is 天子, “Son of Heaven”, which is their own imperial title. 天子 has two characters where the Xiongnu title has two words, so the element glosses follow mechanically from that equation: 撑犁 aligns with 天 and 孤塗 with 子. On that account the first gloss is a true lexical gloss, since 撑犁 is teŋri “heaven”, and the second is a back-formation from the phrase-level equivalence rather than testimony about what 孤塗 means. This is an explanation of the gloss and not a test of it, which is why the reading is offered here rather than argued in the paper.","author's proposal; not supported by any measurement in the paper. The transcription raises no objection; the Chinese gloss 子 'son' does, and the word that gloss wants, ogul, is excluded by the writing"
